date,fundamental_registered,upper_limit
20010105,0,1619
20010109,0,1621
20010110,0,1620
20010111,1,1620
20010112,2,1620
20010115,6,1620
20010116,10,1620
20010117,10,1620
20010118,11,1622
20010119,14,1622
20010122,18,1622
20010123,21,1622
20010124,23,1622
20010125,31,1622
20010126,35,1622
20010129,36,1623
20010130,39,1624
20010131,43,1625
20010201,44,1625
20010202,46,1625
20010205,46,1624
20010206,46,1624
20010207,47,1624
20010208,47,1624
20010209,49,1624
20010213,50,1624
20010214,53,1625
20010215,59,1625
20010216,64,1627
20010219,68,1627
20010220,73,1628
20010221,77,1630
20010222,95,1632
20010223,117,1632
20010226,129,1637
20010227,144,1637
20010228,153,1638
20010301,154,1639
20010302,157,1639
20010305,157,1639
20010306,158,1639
20010307,160,1640
20010308,161,1641
20010309,162,1642
20010312,163,1642
20010313,165,1643
20010314,166,1643
20010315,168,1643
20010316,169,1644
20010319,172,1644
20010321,172,1644
20010322,177,1646
20010323,180,1644
20010326,180,1644
20010327,181,1642
20010328,188,1642
20010329,190,1642
20010330,196,1643
20010402,197,1644
20010403,197,1644
20010404,197,1644
20010405,200,1645
20010406,201,1645
20010409,206,1645
20010410,211,1645
20010411,214,1646
20010412,224,1647
20010413,226,1647
20010416,238,1647
20010417,241,1647
20010418,242,1647
20010419,248,1647
20010420,261,1648
20010423,267,1648
20010424,274,1648
20010425,284,1649
20010426,313,1649
20010427,343,1649
20010501,344,1649
20010502,348,1649
20010507,356,1649
20010508,368,1649
20010509,383,1651
20010510,411,1652
20010511,430,1652
20010514,456,1652
20010515,520,1653
20010516,578,1653
20010517,687,1653
20010518,800,1653
20010521,890,1653
20010522,1009,1653
20010523,1086,1653
20010524,1210,1652
20010525,1425,1652
20010528,1468,1652
20010529,1532,1652
20010530,1567,1652
20010531,1587,1652
20010601,1591,1651
20010604,1592,1651
20010605,1597,1652
20010606,1599,1652
20010607,1603,1652
20010608,1612,1652
20010611,1616,1652
20010612,1622,1653
20010613,1622,1653
20010614,1626,1653
20010615,1634,1653
20010618,1635,1653
20010619,1636,1653
20010620,1638,1653
20010621,1640,1655
20010622,1643,1654
20010625,1645,1654
20010626,1646,1654
20010627,1646,1654
20010628,1646,1654
20010629,1646,1654
20010702,1646,1654
20010703,1646,1654
20010704,1646,1654
20010705,1646,1654
20010706,1646,1654
20010709,1646,1654
20010710,1646,1654
20010711,1646,1654
20010712,1646,1654
20010713,1646,1654
20010716,1646,1654
20010717,1646,1654
20010718,1646,1654
20010719,1647,1655
20010723,1647,1655
20010724,1647,1655
20010725,1647,1655
20010726,1648,1656
20010727,1648,1656
20010730,1648,1656
20010731,1648,1656
20010801,1649,1656
20010802,1649,1656
20010803,1649,1656
20010806,1650,1657
20010807,1651,1658
20010808,1651,1658
20010809,1652,1659
20010810,1653,1660
20010813,1653,1660
20010814,1653,1660
20010815,1653,1660
20010816,1653,1660
20010817,1653,1660
20010820,1653,1660
20010821,1653,1660
20010822,1653,1660
20010823,1653,1660
20010824,1653,1660
20010827,1653,1660
20010828,1653,1660
20010829,1654,1661
20010830,1654,1661
20010831,1654,1661
20010903,1654,1661
20010904,1654,1661
20010905,1654,1661
20010906,1654,1661
20010907,1654,1661
20010910,1653,1660
20010911,1654,1661
20010912,1654,1661
20010913,1654,1661
20010914,1654,1661
20010917,1655,1662
20010918,1655,1662
20010919,1655,1662
20010920,1655,1662
20010921,1655,1663
20010925,1653,1661
20010926,1652,1660
20010927,1652,1660
20010928,1652,1660
20011001,1652,1660
20011002,1652,1660
20011003,1652,1660
20011004,1652,1660
20011005,1652,1660
20011009,1652,1660
20011010,1653,1661
20011011,1653,1661
20011012,1653,1661
20011015,1653,1661
20011016,1653,1660
20011017,1653,1660
20011018,1653,1660
20011019,1655,1662
20011022,1655,1662
20011023,1655,1662
20011024,1655,1662
20011025,1655,1662
20011026,1655,1662
20011029,1655,1662
20011030,1655,1662
20011031,1656,1663
20011101,1656,1663
20011102,1656,1663
20011105,1656,1663
20011106,1656,1663
20011107,1656,1663
20011108,1656,1663
20011109,1656,1663
20011112,1656,1663
20011113,1657,1663
20011114,1657,1663
20011115,1657,1663
20011116,1658,1664
20011119,1658,1664
20011120,1658,1664
20011121,1659,1665
20011122,1660,1666
20011126,1660,1666
20011127,1660,1666
20011128,1661,1667
20011129,1661,1667
20011130,1662,1668
20011203,1662,1668
20011204,1662,1668
20011205,1662,1668
20011206,1662,1668
20011207,1663,1669
20011210,1663,1669
20011211,1663,1669
20011212,1663,1669
20011213,1663,1669
20011214,1664,1670
20011217,1664,1670
20011218,1664,1670
20011219,1664,1670
20011220,1666,1672
20011221,1666,1672
20011225,1666,1672
20011226,1666,1672
20011227,1667,1673
20011228,1667,1673
20020104,1668,1674
20020107,1668,1674
20020108,1668,1674
20020109,1668,1674
20020110,1668,1674
20020111,1668,1674
20020115,1668,1674
20020116,1668,1674
20020117,1668,1674
20020118,1668,1674
20020121,1668,1674
20020122,1669,1675
20020123,1669,1675
20020124,1669,1675
20020125,1668,1674
20020128,1668,1674
20020129,1668,1674
20020130,1669,1675
20020131,1669,1675
20020201,1669,1675
20020204,1669,1675
20020205,1671,1677
20020206,1671,1677
20020207,1671,1677
20020208,1671,1677
20020212,1672,1678
20020213,1672,1678
20020214,1672,1678
20020215,1673,1679
20020218,1673,1679
20020219,1674,1680
20020220,1674,1680
20020221,1674,1680
20020222,1675,1681
20020225,1676,1682
20020226,1676,1682
20020227,1676,1682
20020228,1676,1682
20020301,1675,1681
20020304,1676,1682
20020305,1676,1682
20020306,1676,1682
20020307,1675,1681
20020308,1677,1683
20020311,1677,1683
20020312,1679,1685
20020313,1679,1685
20020314,1679,1685
20020315,1679,1685
20020318,1679,1685
20020319,1680,1686
20020320,1683,1689
20020322,1683,1689
20020325,1685,1691
20020326,1683,1689
20020327,1683,1689
20020328,1683,1690
20020329,1683,1690
20020401,1683,1691
20020402,1683,1691
20020403,1683,1691
20020404,1684,1692
20020405,1684,1692
