date,fundamental_registered,upper_limit,include_ratio
20010105,0,1619,0.0
20010109,0,1621,0.0
20010110,0,1620,0.0
20010111,1,1620,0.0006172839506172839
20010112,2,1620,0.0012345679012345679
20010115,6,1620,0.003703703703703704
20010116,10,1620,0.006172839506172839
20010117,10,1620,0.006172839506172839
20010118,11,1622,0.006781750924784217
20010119,14,1622,0.008631319358816275
20010122,18,1622,0.011097410604192354
20010123,21,1622,0.012946979038224414
20010124,23,1622,0.014180024660912454
20010125,31,1622,0.01911220715166461
20010126,35,1622,0.02157829839704069
20010129,36,1623,0.022181146025878003
20010130,39,1624,0.02401477832512315
20010131,43,1625,0.02646153846153846
20010201,44,1625,0.02707692307692308
20010202,46,1625,0.028307692307692308
20010205,46,1624,0.02832512315270936
20010206,46,1624,0.02832512315270936
20010207,47,1624,0.02894088669950739
20010208,47,1624,0.02894088669950739
20010209,49,1624,0.03017241379310345
20010213,50,1624,0.03078817733990148
20010214,53,1625,0.032615384615384616
20010215,59,1625,0.036307692307692305
20010216,64,1627,0.03933620159803319
20010219,68,1627,0.04179471419791026
20010220,73,1628,0.04484029484029484
20010221,77,1630,0.04723926380368098
20010222,95,1632,0.05821078431372549
20010223,117,1632,0.07169117647058823
20010226,129,1637,0.07880268784361637
20010227,144,1637,0.08796579108124618
20010228,153,1638,0.09340659340659341
20010301,154,1639,0.09395973154362416
20010302,157,1639,0.09579011592434411
20010305,157,1639,0.09579011592434411
20010306,158,1639,0.09640024405125076
20010307,160,1640,0.0975609756097561
20010308,161,1641,0.09811090798293723
20010309,162,1642,0.09866017052375152
20010312,163,1642,0.09926918392204628
20010313,165,1643,0.10042604990870359
20010314,166,1643,0.101034692635423
20010315,168,1643,0.10225197808886184
20010316,169,1644,0.10279805352798053
20010319,172,1644,0.10462287104622871
20010321,172,1644,0.10462287104622871
20010322,177,1646,0.10753341433778858
20010323,180,1644,0.10948905109489052
20010326,180,1644,0.10948905109489052
20010327,181,1642,0.110231425091352
20010328,188,1642,0.11449451887941535
20010329,190,1642,0.11571254567600488
20010330,196,1643,0.11929397443700548
20010402,197,1644,0.11982968369829684
20010403,197,1644,0.11982968369829684
20010404,197,1644,0.11982968369829684
20010405,200,1645,0.12158054711246201
20010406,201,1645,0.12218844984802432
20010409,206,1645,0.12522796352583587
20010410,211,1645,0.12826747720364742
20010411,214,1646,0.13001215066828675
20010412,224,1647,0.13600485731633272
20010413,226,1647,0.13721918639951428
20010416,238,1647,0.14450516089860352
20010417,241,1647,0.14632665452337584
20010418,242,1647,0.1469338190649666
20010419,248,1647,0.15057680631451123
20010420,261,1648,0.158373786407767
20010423,267,1648,0.16201456310679613
20010424,274,1648,0.1662621359223301
20010425,284,1649,0.1722255912674348
20010426,313,1649,0.18981200727713765
20010427,343,1649,0.20800485142510614
20010501,344,1649,0.20861127956337175
20010502,348,1649,0.2110369921164342
20010507,356,1649,0.21588841722255914
20010508,368,1649,0.22316555488174653
20010509,383,1651,0.23198061780738946
20010510,411,1652,0.24878934624697335
20010511,430,1652,0.2602905569007264
20010514,456,1652,0.27602905569007263
20010515,520,1653,0.3145795523290986
20010516,578,1653,0.34966727162734423
20010517,687,1653,0.41560798548094374
20010518,800,1653,0.4839685420447671
20010521,890,1653,0.5384150030248034
20010522,1009,1653,0.6104053236539625
20010523,1086,1653,0.6569872958257713
20010524,1210,1652,0.7324455205811138
20010525,1425,1652,0.862590799031477
20010528,1468,1652,0.8886198547215496
20010529,1532,1652,0.927360774818402
