date, impute, fa_imputed, impute_limit
20010105, 1628, 0, 1619
20010109, 1630, 0, 1621
20010110, 1629, 0, 1620
20010111, 1629, 1620, 1620
20010112, 1629, 1620, 1620
20010115, 1629, 1620, 1620
20010116, 1629, 1620, 1620
20010117, 1629, 1620, 1620
20010118, 1631, 1622, 1622
20010119, 1631, 1622, 1622
20010122, 1631, 1622, 1622
20010123, 1631, 1622, 1622
20010124, 1631, 1622, 1622
20010125, 1631, 1622, 1622
20010126, 1631, 1622, 1622
20010129, 1632, 1623, 1623
20010130, 1633, 1624, 1624
20010131, 1634, 1625, 1625
20010201, 1634, 1625, 1625
20010202, 1634, 1625, 1625
20010205, 1633, 1624, 1624
20010206, 1633, 1624, 1624
20010207, 1633, 1624, 1624
20010208, 1633, 1624, 1624
20010209, 1633, 1624, 1624
20010213, 1633, 1624, 1624
20010214, 1634, 1625, 1625
20010215, 1634, 1625, 1625
20010216, 1636, 1627, 1627
20010219, 1636, 1627, 1627
20010220, 1637, 1628, 1628
20010221, 1639, 1630, 1630
20010222, 1641, 1632, 1632
20010223, 1641, 1632, 1632
20010226, 1646, 1637, 1637
20010227, 1646, 1637, 1637
20010228, 1647, 1638, 1638
20010301, 1648, 1639, 1639
20010302, 1648, 1639, 1639
20010305, 1648, 1639, 1639
20010306, 1648, 1639, 1639
20010307, 1649, 1640, 1640
20010308, 1650, 1641, 1641
20010309, 1651, 1642, 1642
20010312, 1651, 1642, 1642
20010313, 1652, 1643, 1643
20010314, 1652, 1643, 1643
20010315, 1652, 1643, 1643
20010316, 1653, 1644, 1644
20010319, 1653, 1644, 1644
20010321, 1653, 1644, 1644
20010322, 1655, 1646, 1646
20010323, 1653, 1644, 1644
20010326, 1653, 1644, 1644
20010327, 1651, 1642, 1642
20010328, 1651, 1642, 1642
20010329, 1651, 1642, 1642
20010330, 1652, 1643, 1643
20010402, 1653, 1644, 1644
20010403, 1653, 1644, 1644
20010404, 1653, 1644, 1644
20010405, 1654, 1645, 1645
20010406, 1654, 1645, 1645
20010409, 1654, 1645, 1645
20010410, 1654, 1645, 1645
20010411, 1655, 1646, 1646
20010412, 1656, 1647, 1647
20010413, 1656, 1647, 1647
20010416, 1656, 1647, 1647
20010417, 1656, 1647, 1647
20010418, 1656, 1647, 1647
20010419, 1656, 1647, 1647
20010420, 1657, 1648, 1648
20010423, 1657, 1648, 1648
20010424, 1657, 1648, 1648
20010425, 1658, 1649, 1649
20010426, 1658, 1649, 1649
20010427, 1658, 1649, 1649
20010501, 1658, 1649, 1649
20010502, 1658, 1649, 1649
20010507, 1658, 1649, 1649
20010508, 1658, 1649, 1649
20010509, 1660, 1651, 1651
20010510, 1661, 1652, 1652
20010511, 1661, 1652, 1652
20010514, 1661, 1652, 1652
20010515, 1662, 1653, 1653
20010516, 1662, 1653, 1653
20010517, 1662, 1653, 1653
20010518, 1662, 1653, 1653
20010521, 1662, 1653, 1653
20010522, 1662, 1653, 1653
20010523, 1662, 1653, 1653
20010524, 1661, 1652, 1652
20010525, 1661, 1652, 1652
20010528, 1661, 1652, 1652
20010529, 1661, 1652, 1652
20010530, 1661, 1652, 1652
20010531, 1661, 1652, 1652
20010601, 1660, 1651, 1651
20010604, 1660, 1651, 1651
20010605, 1661, 1652, 1652
20010606, 1661, 1652, 1652
20010607, 1661, 1652, 1652
20010608, 1661, 1652, 1652
20010611, 1661, 1652, 1652
20010612, 1662, 1653, 1653
20010613, 1662, 1653, 1653
20010614, 1662, 1653, 1653
20010615, 1662, 1653, 1653
20010618, 1662, 1653, 1653
20010619, 1662, 1653, 1653
20010620, 1662, 1653, 1653
20010621, 1664, 1655, 1655
20010622, 1663, 1654, 1654
20010625, 1663, 1654, 1654
20010626, 1663, 1654, 1654
20010627, 1663, 1654, 1654
20010628, 1663, 1654, 1654
20010629, 1663, 1654, 1654
20010702, 1663, 1654, 1654
20010703, 1663, 1654, 1654
20010704, 1663, 1654, 1654
20010705, 1663, 1654, 1654
20010706, 1663, 1654, 1654
20010709, 1663, 1654, 1654
20010710, 1663, 1654, 1654
20010711, 1663, 1654, 1654
20010712, 1663, 1654, 1654
20010713, 1663, 1654, 1654
20010716, 1663, 1654, 1654
20010717, 1663, 1654, 1654
20010718, 1663, 1654, 1654
20010719, 1664, 1655, 1655
20010723, 1664, 1655, 1655
20010724, 1664, 1655, 1655
20010725, 1664, 1655, 1655
20010726, 1665, 1656, 1656
20010727, 1665, 1656, 1656
20010730, 1665, 1656, 1656
20010731, 1665, 1656, 1656
20010801, 1665, 1656, 1656
20010802, 1665, 1656, 1656
20010803, 1665, 1656, 1656
20010806, 1666, 1657, 1657
20010807, 1667, 1658, 1658
20010808, 1667, 1658, 1658
20010809, 1668, 1659, 1659
20010810, 1669, 1660, 1660
20010813, 1669, 1660, 1660
20010814, 1669, 1660, 1660
20010815, 1669, 1660, 1660
20010816, 1669, 1660, 1660
20010817, 1669, 1660, 1660
20010820, 1669, 1660, 1660
20010821, 1669, 1660, 1660
20010822, 1669, 1660, 1660
20010823, 1669, 1660, 1660
20010824, 1669, 1660, 1660
20010827, 1669, 1660, 1660
20010828, 1669, 1660, 1660
20010829, 1670, 1661, 1661
20010830, 1670, 1661, 1661
20010831, 1670, 1661, 1661
20010903, 1670, 1661, 1661
20010904, 1670, 1661, 1661
20010905, 1670, 1661, 1661
20010906, 1670, 1661, 1661
20010907, 1670, 1661, 1661
20010910, 1669, 1660, 1660
20010911, 1670, 1661, 1661
20010912, 1670, 1661, 1661
20010913, 1670, 1661, 1661
20010914, 1670, 1661, 1661
20010917, 1671, 1662, 1662
20010918, 1671, 1662, 1662
20010919, 1671, 1662, 1662
20010920, 1671, 1662, 1662
20010921, 1672, 1663, 1663
20010925, 1670, 1661, 1661
20010926, 1669, 1660, 1660
20010927, 1669, 1660, 1660
20010928, 1669, 1660, 1660
20011001, 1669, 1660, 1660
20011002, 1669, 1660, 1660
20011003, 1669, 1660, 1660
20011004, 1669, 1660, 1660
20011005, 1669, 1660, 1660
20011009, 1669, 1660, 1660
20011010, 1670, 1661, 1661
20011011, 1670, 1661, 1661
20011012, 1670, 1661, 1661
20011015, 1670, 1661, 1661
20011016, 1669, 1660, 1660
20011017, 1669, 1660, 1660
20011018, 1669, 1660, 1660
20011019, 1671, 1662, 1662
20011022, 1671, 1662, 1662
20011023, 1671, 1662, 1662
20011024, 1671, 1662, 1662
20011025, 1671, 1662, 1662
20011026, 1671, 1662, 1662
20011029, 1671, 1662, 1662
20011030, 1671, 1662, 1662
20011031, 1672, 1663, 1663
20011101, 1672, 1663, 1663
20011102, 1672, 1663, 1663
20011105, 1672, 1663, 1663
20011106, 1672, 1663, 1663
20011107, 1672, 1663, 1663
20011108, 1672, 1663, 1663
20011109, 1672, 1663, 1663
20011112, 1672, 1663, 1663
20011113, 1672, 1663, 1663
20011114, 1672, 1663, 1663
20011115, 1672, 1663, 1663
20011116, 1673, 1664, 1664
20011119, 1673, 1664, 1664
20011120, 1673, 1664, 1664
20011121, 1674, 1665, 1665
20011122, 1675, 1666, 1666
20011126, 1675, 1666, 1666
20011127, 1675, 1666, 1666
20011128, 1676, 1667, 1667
20011129, 1676, 1667, 1667
20011130, 1677, 1668, 1668
20011203, 1677, 1668, 1668
20011204, 1677, 1668, 1668
20011205, 1677, 1668, 1668
20011206, 1677, 1668, 1668
20011207, 1678, 1669, 1669
20011210, 1678, 1669, 1669
20011211, 1678, 1669, 1669
20011212, 1678, 1669, 1669
20011213, 1678, 1669, 1669
20011214, 1679, 1670, 1670
20011217, 1679, 1670, 1670
20011218, 1679, 1670, 1670
20011219, 1679, 1670, 1670
20011220, 1681, 1672, 1672
20011221, 1681, 1672, 1672
20011225, 1681, 1672, 1672
20011226, 1681, 1672, 1672
20011227, 1682, 1673, 1673
20011228, 1682, 1673, 1673
20020104, 1684, 1674, 1674
20020107, 1684, 1674, 1674
20020108, 1684, 1674, 1674
20020109, 1684, 1674, 1674
20020110, 1684, 1674, 1674
20020111, 1684, 1674, 1674
20020115, 1684, 1674, 1674
20020116, 1684, 1674, 1674
20020117, 1684, 1674, 1674
20020118, 1684, 1674, 1674
