date,fundamental_registered,upper_limit,include_ratio,unregistered
20010105,0,1619,0.0,1619
20010109,0,1621,0.0,1621
20010110,0,1620,0.0,1620
20010111,1,1620,0.0006172839506172,1619
20010112,2,1620,0.0012345679012345,1618
20010115,6,1620,0.0037037037037037,1614
20010116,10,1620,0.0061728395061728,1610
20010117,10,1620,0.0061728395061728,1610
20010118,11,1622,0.0067817509247842,1611
20010119,14,1622,0.0086313193588162,1608
20010122,18,1622,0.0110974106041923,1604
20010123,21,1622,0.0129469790382244,1601
20010124,23,1622,0.0141800246609124,1599
20010125,31,1622,0.0191122071516646,1591
20010126,35,1622,0.0215782983970406,1587
20010129,36,1623,0.022181146025878,1587
20010130,39,1624,0.0240147783251231,1585
20010131,43,1625,0.0264615384615384,1582
20010201,44,1625,0.027076923076923,1581
20010202,46,1625,0.0283076923076923,1579
20010205,46,1624,0.0283251231527093,1578
20010206,46,1624,0.0283251231527093,1578
20010207,47,1624,0.0289408866995073,1577
20010208,47,1624,0.0289408866995073,1577
20010209,49,1624,0.0301724137931034,1575
20010213,50,1624,0.0307881773399014,1574
20010214,53,1625,0.0326153846153846,1572
20010215,59,1625,0.0363076923076923,1566
20010216,64,1627,0.0393362015980331,1563
20010219,68,1627,0.0417947141979102,1559
20010220,73,1628,0.0448402948402948,1555
20010221,77,1630,0.0472392638036809,1553
20010222,95,1632,0.0582107843137254,1537
20010223,117,1632,0.0716911764705882,1515
20010226,129,1637,0.0788026878436163,1508
20010227,144,1637,0.0879657910812461,1493
20010228,153,1638,0.0934065934065934,1485
20010301,154,1639,0.0939597315436241,1485
20010302,157,1639,0.0957901159243441,1482
20010305,157,1639,0.0957901159243441,1482
20010306,158,1639,0.0964002440512507,1481
20010307,160,1640,0.0975609756097561,1480
20010308,161,1641,0.0981109079829372,1480
20010309,162,1642,0.0986601705237515,1480
20010312,163,1642,0.0992691839220462,1479
20010313,165,1643,0.1004260499087035,1478
20010314,166,1643,0.101034692635423,1477
20010315,168,1643,0.1022519780888618,1475
20010316,169,1644,0.1027980535279805,1475
20010319,172,1644,0.1046228710462287,1472
20010321,172,1644,0.1046228710462287,1472
20010322,177,1646,0.1075334143377885,1469
20010323,180,1644,0.1094890510948905,1464
20010326,180,1644,0.1094890510948905,1464
20010327,181,1642,0.110231425091352,1461
20010328,188,1642,0.1144945188794153,1454
20010329,190,1642,0.1157125456760048,1452
20010330,196,1643,0.1192939744370054,1447
20010402,197,1644,0.1198296836982968,1447
20010403,197,1644,0.1198296836982968,1447
20010404,197,1644,0.1198296836982968,1447
20010405,200,1645,0.121580547112462,1445
20010406,201,1645,0.1221884498480243,1444
20010409,206,1645,0.1252279635258358,1439
20010410,211,1645,0.1282674772036474,1434
20010411,214,1646,0.1300121506682867,1432
20010412,224,1647,0.1360048573163327,1423
20010413,226,1647,0.1372191863995142,1421
20010416,238,1647,0.1445051608986035,1409
20010417,241,1647,0.1463266545233758,1406
20010418,242,1647,0.1469338190649666,1405
20010419,248,1647,0.1505768063145112,1399
20010420,261,1648,0.158373786407767,1387
20010423,267,1648,0.1620145631067961,1381
20010424,274,1648,0.1662621359223301,1374
20010425,284,1649,0.1722255912674348,1365
20010426,313,1649,0.1898120072771376,1336
20010427,343,1649,0.2080048514251061,1306
20010501,344,1649,0.2086112795633717,1305
20010502,348,1649,0.2110369921164342,1301
20010507,356,1649,0.2158884172225591,1293
20010508,368,1649,0.2231655548817465,1281
20010509,383,1651,0.2319806178073894,1268
20010510,411,1652,0.2487893462469733,1241
20010511,430,1652,0.2602905569007264,1222
20010514,456,1652,0.2760290556900726,1196
20010515,520,1653,0.3145795523290986,1133
20010516,578,1653,0.3496672716273442,1075
20010517,687,1653,0.4156079854809437,966
20010518,800,1653,0.4839685420447671,853
20010521,890,1653,0.5384150030248034,763
20010522,1009,1653,0.6104053236539625,644
20010523,1086,1653,0.6569872958257713,567
20010524,1210,1652,0.7324455205811138,442
20010525,1425,1652,0.862590799031477,227
20010528,1468,1652,0.8886198547215496,184
20010529,1532,1652,0.927360774818402,120
20010530,1567,1652,0.948547215496368,85
20010531,1587,1652,0.9606537530266344,65
20010601,1591,1651,0.9636583888552392,60
20010604,1592,1651,0.9642640823743186,59
20010605,1597,1652,0.9667070217917676,55
20010606,1599,1652,0.9679176755447942,53
20010607,1603,1652,0.9703389830508474,49
20010608,1612,1652,0.9757869249394672,40
20010611,1616,1652,0.9782082324455206,36
20010612,1622,1653,0.9812462189957653,31
20010613,1622,1653,0.9812462189957653,31
20010614,1626,1653,0.9836660617059892,27
20010615,1634,1653,0.9885057471264368,19
20010618,1635,1653,0.9891107078039928,18
20010619,1636,1653,0.9897156684815488,17
20010620,1638,1653,0.9909255898366606,15
20010621,1640,1655,0.9909365558912386,15
20010622,1643,1654,0.9933494558645708,11
20010625,1645,1654,0.994558645707376,9
20010626,1646,1654,0.9951632406287788,8
20010627,1646,1654,0.9951632406287788,8
20010628,1646,1654,0.9951632406287788,8
20010629,1646,1654,0.9951632406287788,8
20010702,1646,1654,0.9951632406287788,8
20010703,1646,1654,0.9951632406287788,8
20010704,1646,1654,0.9951632406287788,8
20010705,1646,1654,0.9951632406287788,8
20010706,1646,1654,0.9951632406287788,8
20010709,1646,1654,0.9951632406287788,8
20010710,1646,1654,0.9951632406287788,8
20010711,1646,1654,0.9951632406287788,8
20010712,1646,1654,0.9951632406287788,8
20010713,1646,1654,0.9951632406287788,8
20010716,1646,1654,0.9951632406287788,8
20010717,1646,1654,0.9951632406287788,8
20010718,1646,1654,0.9951632406287788,8
20010719,1647,1655,0.995166163141994,8
20010723,1647,1655,0.995166163141994,8
20010724,1647,1655,0.995166163141994,8
20010725,1647,1655,0.995166163141994,8
20010726,1648,1656,0.9951690821256038,8
20010727,1648,1656,0.9951690821256038,8
20010730,1648,1656,0.9951690821256038,8
20010731,1648,1656,0.9951690821256038,8
20010801,1649,1656,0.9957729468599034,7
20010802,1649,1656,0.9957729468599034,7
20010803,1649,1656,0.9957729468599034,7
20010806,1650,1657,0.995775497887749,7
20010807,1651,1658,0.9957780458383596,7
20010808,1651,1658,0.9957780458383596,7
20010809,1652,1659,0.9957805907172996,7
20010810,1653,1660,0.9957831325301204,7
20010813,1653,1660,0.9957831325301204,7
20010814,1653,1660,0.9957831325301204,7
20010815,1653,1660,0.9957831325301204,7
20010816,1653,1660,0.9957831325301204,7
20010817,1653,1660,0.9957831325301204,7
20010820,1653,1660,0.9957831325301204,7
20010821,1653,1660,0.9957831325301204,7
20010822,1653,1660,0.9957831325301204,7
20010823,1653,1660,0.9957831325301204,7
20010824,1653,1660,0.9957831325301204,7
20010827,1653,1660,0.9957831325301204,7
20010828,1653,1660,0.9957831325301204,7
20010829,1654,1661,0.99578567128236,7
20010830,1654,1661,0.99578567128236,7
20010831,1654,1661,0.99578567128236,7
20010903,1654,1661,0.99578567128236,7
20010904,1654,1661,0.99578567128236,7
20010905,1654,1661,0.99578567128236,7
20010906,1654,1661,0.99578567128236,7
20010907,1654,1661,0.99578567128236,7
20010910,1653,1660,0.9957831325301204,7
20010911,1654,1661,0.99578567128236,7
20010912,1654,1661,0.99578567128236,7
20010913,1654,1661,0.99578567128236,7
20010914,1654,1661,0.99578567128236,7
20010917,1655,1662,0.9957882069795428,7
20010918,1655,1662,0.9957882069795428,7
20010919,1655,1662,0.9957882069795428,7
20010920,1655,1662,0.9957882069795428,7
20010921,1655,1663,0.995189416716777,8
20010925,1653,1661,0.9951836243226972,8
20010926,1652,1660,0.9951807228915662,8
