TICKER,CORPORATE_CCANAME,CORPORATE_ENAME1
T1301,極洋,KYOKUYO
T130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉ,VERITAS IN SILICO
T131A,ＣＣＮグループ,CCN GROUP
T132A,アイエヌホールディングス,IN HOLDINGS
T1332,ニッスイ,NISSUI
T1333,マルハニチロ,MARUHA NICHIRO
T134A,アプライズ,UPRAISE
T135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,VRAIN SOLUTION
T136A,三興商事,SANKOSYOJI
T1375,ユキグニファクトリー,YUKIGUNI FACTORY
T1376,カネコ種苗,KANEKO SEEDS
T1377,サカタのタネ,SAKATA SEED
T1379,ホクト,HOKUTO
T137A,Ｃｏｃｏｌｉｖｅ,COCOLIVE
T1380,秋川牧園,AKIKAWA FOODS & FARMS
T1381,アクシーズ,AXYZ
T1382,ホーブ,HOB
T1383,ベルグアース,BERG EARTH
T1384,ホクリヨウ,HOKURYO
T138A,光フードサービス,HIKARI FOOD SERVICE
T139A,東日本地所,HIGASHINIHON JISHO
T1401,エムビーエス,MBS
T1407,ウエストホールディングス,WEST HOLDINGS
T1414,ショーボンドホールディングス,SHO-BOND HOLDINGS
T1417,ミライト・ワン,MIRAIT ONE
T1418,インターライフホールディングス,INTERLIFE HOLDINGS
T1419,タマホーム,TAMA HOME
T141A,トライアルホールディングス,TRIAL HOLDINGS
T1420,サンヨーホームズ,SANYO HOMES
T1429,日本アクア,NIPPON AQUA
T142A,ジンジブ,JINJIB
T1430,ファーストコーポレーション,FIRST-CORPORATION
T1431,Ｌｉｂ　Ｗｏｒｋ,LIB WORK
T1432,動力,DORYOKU
T1433,ベステラ,BESTERRA
T1434,ＪＥＳＣＯホールディングス,JESCO HOLDINGS
T1435,ｒｏｂｏｔ　ｈｏｍｅ,ROBOT HOME
T1436,グリーンエナジー＆カンパニー,GREENENERGY & COMPANY
T1438,岐阜造園,GIFU LANDSCAPE ARCHITECT
T143A,イシン,ISHIN
T1443,技研ホールディングス,GIKEN HOLDINGS
T1444,ニッソウ,NISSOU
T1445,ひかりホールディングス,HIKARI HOLDINGS
T1446,キャンディル,CANDEAL
T1447,ＳＡＡＦホールディングス,SAAF HOLDINGS
T1449,ＦＵＪＩジャパン,FUJI JAPAN
T144A,エネルギーパワー,ENERGY POWER
T1450,ＴＡＮＡＫＥＮ,TANAKEN
T1452,横浜ライト工業,YOKOHAMA WRIGHT INDUSTRIES
T145A,Ｌ　ｉｓ　Ｂ,L IS B
T146A,コロンビア・ワークス,COLUMBIA WORKS
T147A,ソラコム,SORACOM
T148A,ハッチ・ワーク,HATCH WORK
T1491,中外鉱業,CHUGAI MINING
T149A,シンカ,THINCA
T150A,ＪＳＨ,JSH
T1514,住石ホールディングス,SUMISEKI HOLDINGS
T1515,日鉄鉱業,NITTETSU MINING
T1518,三井松島ホールディングス,MITSUI MATSUSHIMA HOLDINGS
T151A,ダイブ,DIVE
T152A,オプティ,OPTY
T153A,カウリス,CAULIS
T154A,ＧＡＩＡ,GAIA
T155A,情報戦略テクノロジー,INFORMATION STRATEGY & TECHNOL
T156A,マテリアルグループ,MATERIAL GROUP
T157A,グリーンモンスター,GREEN MONSTER
T158A,エクセリ,EXSELI
T1605,ＩＮＰＥＸ,INPEX
T160A,アズパートナーズ,AS PARTNERS
T161A,三葉,MITSUBA
T164A,アップルパーク,APPLEPARK
T165A,ＳＢＩレオスひふみ,SBI RHEOS HIFUMI
T1662,石油資源開発,JAPAN PETROLEUM EXPLORATION
T1663,Ｋ＆Ｏエナジーグループ,K&O ENERGY GROUP
T166A,タスキホールディングス,TASUKI HOLDINGS
T167A,リョーサン菱洋ホールディングス,RYOYO RYOSAN HOLDINGS
T168A,イタミアート,ITAMIARTS
T1711,ＳＤＳホールディングス,SDS HOLDINGS
T1712,ダイセキ環境ソリューション,DAISEKI ECO. SOLUTION
T1716,第一カッター興業,DAI-ICHI CUTTER KOGYO
T1717,明豊ファシリティワークス,MEIHO FACILITY WORKS
T1718,美樹工業,MIKIKOGYO
T1719,安藤・間,HAZAMA ANDO
T171A,ゼロジャパン,ZEROJAPAN
T1720,東急建設,TOKYU CONSTRUCTION
T1721,コムシスホールディングス,COMSYS HOLDINGS
